	file_id	input_file	label_file	nr_polynomials	max_total_degree	max_x1	max_x2	max_x3	prop_x1	prop_x2	prop_x3	prop_mon_x1	prop_mon_x2	prop_mon_x3	label
0	3940	poly3940.txt.ml	comp_times3940.txt	4	1	1	1	1	0.5	0.5	0.25	0.4	0.4	0.2	0
1	5554	poly5554.txt.ml	comp_times5554.txt	12	10	10	9	1	0.6666666666666666	0.6666666666666666	0.25	0.38095238095238093	0.5238095238095238	0.07142857142857142	4
2	4063	poly4063.txt.ml	comp_times4063.txt	9	1	1	1	1	0.4444444444444444	0.4444444444444444	0.5555555555555556	0.18181818181818182	0.18181818181818182	0.22727272727272727	5
3	4732	poly4732.txt.ml	comp_times4732.txt	7	8	4	2	1	0.42857142857142855	0.2857142857142857	0.42857142857142855	0.2857142857142857	0.14285714285714285	0.21428571428571427	2
4	5205	poly5205.txt.ml	comp_times5205.txt	6	18	12	6	1	0.5	0.3333333333333333	0.5	0.55	0.55	0.15	5
5	2991	poly2991.txt.ml	comp_times2991.txt	9	3	1	1	1	0.6666666666666666	0.5555555555555556	0.3333333333333333	0.38095238095238093	0.3333333333333333	0.23809523809523808	4
6	1199	poly1199.txt.ml	comp_times1199.txt	9	2	2	2	1	0.2222222222222222	0.2222222222222222	0.6666666666666666	0.10526315789473684	0.10526315789473684	0.3157894736842105	4
7	4585	poly4585.txt.ml	comp_times4585.txt	7	1	1	1	1	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.1875	0.1875	0.1875	0
8	5454	poly5454.txt.ml	comp_times5454.txt	12	13	13	10	1	0.6666666666666666	0.6666666666666666	0.25	0.5454545454545454	0.36363636363636365	0.06818181818181818	5
9	4163	poly4163.txt.ml	comp_times4163.txt	11	5	2	2	2	0.36363636363636365	0.2727272727272727	0.6363636363636364	0.3333333333333333	0.2962962962962963	0.37037037037037035	2
10	4632	poly4632.txt.ml	comp_times4632.txt	6	4	4	1	1	0.3333333333333333	0.5	0.3333333333333333	0.2	0.3	0.2	5
